Name,Region,Address,Latitude,Longitude,Phone Number,Verified,Street,Unit,Region2,Province (abbv.),Postal Code,Province,First 3 digits of Postal Code,Region_new,Count
City Electric Supply,Vaughan ,"8051 Keele Street, Suite 4-5, Vaughan, ON, L4K 1Y9",43.8071834,-79.5000906,905 695-0409 ,,8051 Keele Street,Suite 4-5,Vaughan,ON,L4K 1Y9,Ontario,L4K,Central,2
Westburne/Rockwell,Vaughan,"676 Westburne Drive Unit #2, Vaughan, ON, L4K 4V5",43.8367127,-79.5009253,905-879-2642,,676 Westburne Drive Unit #2,Vaughan,ON,,L4K 4V5,Ontario,L4K,Central,2
City Electric Supply,Woodbridge,"1 Whitmore Road, Units 10-12, Woodbridge, ON, L4L 8G4",43.7822355,-79.5533908,905 856-8824 ,,1 Whitmore Road,Units 10-12,Woodbridge,ON,L4L 8G4,Ontario,L4L,Central,4
Sonepar/Sesco/Gescan,Vaughan,"51 Vinyl Court, Vaughan, ON, L4L 4A3",43.7665274,-79.5692995,416.745.9292 ,,51 Vinyl Court,Vaughan,ON,,L4L 4A3,Ontario,L4L,Central,4
O'Neill Electric,GTA West,"150 Creditview Road, Woodbridge, ON, L4L 9N4 ",43.8133033,-79.5482289,416-798-7722,,150 Creditview Road,Woodbridge,ON,,L4L 9N4 ,Ontario,L4L,Central,4
Guillevin International,Woodbridge,"51 Terecar Drive - Unit 4, Woodbridge, ON, L4L 0B5",43.8100864,-79.5475237,905 264-1111,x,51 Terecar Drive - Unit 4,Woodbridge,ON,,L4L 0B5,Ontario,L4L,Central,4
Nedco,Barrie,"142 Commerce Park Drive, Units S T U, Barrie, ON, L4N 8W8",44.3228363,-79.6934231,705-726-0211,,142 Commerce Park Drive,Units S T U,Barrie,ON,L4N 8W8,Ontario,L4N,Central,3
City Electric Supply,Barrie ,"85 Patterson Road, Barrie, ON, L4N 3V9",44.3647155,-79.7069015,705 725-0333 ,,85 Patterson Road,,Barrie,ON,L4N 3V9,Ontario,L4N,Central,3
Westburne/Rockwell,Barrie - Rockwell Distributor,"80 Morrow Road, Barrie, ON, L4N 3V8",44.3628524,-79.7040963,705-726-2331,,80 Morrow Road,Barrie,ON,,L4N 3V8,Ontario,L4N,Central,3
Westburne/Rockwell,Midland - Rockwell Distributor,"405 Cranston Crescent, P.O. Box 395, Midland, ON, L4R 4L1",44.7299771,-79.8629147,705-526-3710,,405 Cranston Crescent,P.O. Box 395,Midland,ON,L4R 4L1,Ontario,L4R,Central,1
City Electric Supply,Mississauga Torbram Rd,"7270 Torbram Rd, Unit 1, Mississauga, ON, L4T 3Y7",43.6991751,-79.6611744,905 671-0800 ,,7270 Torbram Rd,Unit 1,Mississauga,ON,L4T 3Y7,Ontario,L4T,Central,1
City Electric Supply,Mississauga Maingate Drive ,"5030 Maingate Drive, Unit 9-10, Mississauga, ON, L4W 1N5",43.6297366,-79.6280594,905 629-9912 ,,5030 Maingate Drive,Unit 9-10,Mississauga,ON,L4W 1N5,Ontario,L4W,Central,1
City Electric Supply,Mississauga Burnhamthorpe Rd ,"720 Burnhamthorpe Road, Units 19-20, Mississauga, ON, L5C 3G1",43.5774991,-79.6524911,905 276-6700,,720 Burnhamthorpe Road,Units 19-20,Mississauga,ON,L5C 3G1,Ontario,L5C,Central,1
Westburne/Rockwell,Laird - Rockwell Distributor,"3495 Laird Road Unit #21, Mississauga, ON, L5L 5S5",43.5162097,-79.6957417,905-608-1010,,3495 Laird Road Unit #21,Mississauga,ON,,L5L 5S5,Ontario,L5L,Central,1
Westburne/Rockwell,CourtneyPark- Rockwell Distri.,"1180 CourtneyPark Dr. E, Mississauga, ON, L5T 1P2",43.657214,-79.6645072,905-670-6144,,1180 CourtneyPark Dr. E,Mississauga,ON,,L5T 1P2,Ontario,L5T,Central,1
City Electric Supply,Oakville,"1042 Speers Road, Oakville, ON, L6L 2X4",43.4322256,-79.7031482,905 339-1818 ,x,1042 Speers Road,Oakville,ON,,L6L 2X4,Ontario,L6L,Central,1
City Electric Supply,Brampton ,"158 Kennedy Road S, Units 8-9, Brampton, ON, L6W 3G7",43.6819495,-79.7301864,905 452-7752,,158 Kennedy Road S,Units 8-9,Brampton,ON,L6W 3G7,Ontario,L6W,Central,2
Sonepar/Sesco/Gescan,Brampton,"268 Rutherford Road South, Unit 7, Brampton, ON, L6W 3N3",43.686888,-79.7254061,905.451.4550,,268 Rutherford Road South,Unit 7,Brampton,ON,L6W 3N3,Ontario,L6W,Central,2
City Electric Supply,Georgetown formerly Milton,"20 Armstrong Ave, Unit 1, Georgetown, ON, L7G 4R9",43.6548748,-79.9058024,905-877-2553,,20 Armstrong Ave,Unit 1,Georgetown,ON,L7G 4R9,Ontario,L7G,Central,1
City Electric Supply,Burlington,"4325 Harvester Rd, Unit 6, Burlington, ON, L7L 5M4",43.3719471,-79.7761709,905 634-7000 ,,4325 Harvester Rd,Unit 6,Burlington,ON,L7L 5M4,Ontario,L7L,Central,3
Westburne/Rockwell,Burlington,"975 Fraser Drive Units 19 & 20, Burlington, ON, L7L 4X8",43.3675503,-79.7837036,905-681-7110,,975 Fraser Drive Units 19 & 20,Burlington,ON,,L7L 4X8,Ontario,L7L,Central,3
Guillevin International,Burlington,"990 Fraser Drive Unit #3,Burlington, ON, L7L 5P5",43.3667297,-79.7853677,289 288-4313,,990 Fraser Drive Unit #3,Burlington,ON,,L7L 5P5,Ontario,L7L,Central,3
City Electric Supply,Hamilton,"249 Lake Avenue North, Hamilton, ON, L8E 3B8",43.2356749,-79.7528242,905 573-8133,,249 Lake Avenue North,Hamilton,ON,,L8E 3B8,Ontario,L8E,Central,2
Westburne/Rockwell,Stoney Creek,"560 Arvin Avenue Unit 6, Stoney Creek, ON, L8E 5P1",43.226605,-79.7052193,905-643-0651,,560 Arvin Avenue Unit 6,Stoney Creek,ON,,L8E 5P1,Ontario,L8E,Central,2
Guillevin International,Hamilton,"238 Gage Avenue N, Hamilton, ON, L8L 7A7",43.2561313,-79.8243341,905 544-1900,,238 Gage Avenue N,Hamilton,ON,,L8L 7A7,Ontario,L8L,Central,1
Westburne/Rockwell,Hamilton,"120 Nebo Road, Hamilton, ON, L8W 2E4",43.1950307,-79.837465,905-574-8688,,120 Nebo Road,Hamilton,ON,,L8W 2E4,Ontario,L8W,Central,2
Sonepar/Sesco/Gescan,Hamilton,"85 Hempstead Drive, Hamilton, ON, L8W 2Y6",43.1968194,-79.8390406,905.389.9292,,85 Hempstead Drive,Hamilton,ON,,L8W 2Y6,Ontario,L8W,Central,2
City Electric Supply,Orangeville,"22 Robb Boulevard, Orangeville, ON, L9W 3L2",43.9048378,-80.1116109,519 938-8041,,22 Robb Boulevard,,Orangeville,ON,L9W 3L2,Ontario,L9W,Central,2
Westburne/Rockwell,Orangeville - Rockwell Distri.,"48 Centennial Road , Units 11 & 12, Orangeville, ON, L9W 3T4",43.9080276,-80.1105957,519-941-2006,,48 Centennial Road,Units 11 & 12,Orangeville,ON,L9W 3T4,Ontario,L9W,Central,2
City Electric Supply,Collingwood,"90 Mountain Road, Unit 2, Collingwood, ON, L9Y 4W6",44.5011948,-80.2411333,705 446-2661,,90 Mountain Road,Unit 2,Collingwood,ON,L9Y 4W6,Ontario,L9Y,Central,2
Westburne/Rockwell,Collingwood - Rockwell Distri.,"100 High Street Unit # 1, Collingwood, ON, L9Y 4K2",44.4934658,-80.2336562,705-445-2582,,100 High Street Unit # 1,Collingwood,ON,,L9Y 4K2,Ontario,L9Y,Central,2
Westburne/Rockwell,Scarborough - Rockwell Distri.,"1210 Markham Road, Scarborough, ON, M1H 3B3",43.7776898,-79.2336055,416-751-4310,,1210 Markham Road,Scarborough,ON,,M1H 3B3,Ontario,M1H,Toronto,1
City Electric Supply,Scarborough,"21 Canadian Road, Unit 3, Scarborough, ON, M1R 5G2",43.7601298,-79.2934715,416 750-3717 ,,21 Canadian Road,Unit 3,Scarborough,ON,M1R 5G2,Ontario,M1R,Toronto,2
O'Neill Electric,GTA East,"121 Howden Road, Scarborough, ON, M1R 3C7",43.7549814,-79.2906536,416-609-1010,,121 Howden Road,Scarborough,ON,,M1R 3C7,Ontario,M1R,Toronto,2
City Electric Supply,Scarborough North ,"17 State Crown Blvd Unit 1, Scarborough, ON, M1V 4B1 ",43.830035,-79.2582943,416 332-0112 ,,17 State Crown Blvd Unit 1,Scarborough,ON,,M1V 4B1 ,Ontario,M1V,Toronto,1
City Electric Supply,Downtown Toronto,"49 Spadina Avenue, Unit 2, Toronto, ON, M5V 2J1",43.6434844,-79.3935903,416-979-8834,,49 Spadina Avenue,Unit 2,Toronto,ON,M5V 2J1,Ontario,M5V,Toronto,1
City Electric Supply,North York ,"2700 Dufferin St Unit, Unit 69, York, ON, M6B 4J3",43.7017934,-79.4535047,416 781-3600 ,,2700 Dufferin St Unit,Unit 69,York,ON,M6B 4J3,Ontario,M6B,Toronto,1
Sonepar/Sesco/Gescan,Toronto Central,"282 Campbell Avenue, Toronto, ON, M6P 3V6",43.6650559,-79.4500579,416.961.4550,,282 Campbell Avenue,Toronto,ON,,M6P 3V6,Ontario,M6P,Toronto,1
City Electric Supply,Etobicoke ,"730 Kipling Ave, Etobicoke, ON, M8Z 5G5",43.6265191,-79.5296074,416 253-0777 ,,730 Kipling Ave,Etobicoke,ON,,M8Z 5G5,Ontario,M8Z,Toronto,3
Westburne/Rockwell,Horner - Rockwell Distributor,"75 Horner Ave Unit 2, Toronto, ON, M8Z 4X5",43.613522,-79.515961,416-503-4778,,75 Horner Ave Unit 2,Toronto,ON,,M8Z 4X5,Ontario,M8Z,Toronto,3
Sonepar/Sesco/Gescan,Etobicoke,"85 Queen Elizabeth Blvd., Etobicoke, ON, M8Z 1M5",43.6213462,-79.5117236,416.259.4228,,85 Queen Elizabeth Blvd.,Etobicoke,ON,,M8Z 1M5,Ontario,M8Z,Toronto,3
City Electric Supply,Rexdale ,"75 City View Drive, Unit 2, Etobicoke, ON, M9W 5A5",43.6992266,-79.5851601,416 744-6888 ,,75 City View Drive,Unit 2,Etobicoke,ON,M9W 5A5,Ontario,M9W,Toronto,1
Westburne/Rockwell,Guelph - Rockwell Distributor,"362 Silvercreek Parkway North, Guelph, ON, N1H 1E7",43.5468081,-80.2911012,519-821-4020,,362 Silvercreek Parkway North,Guelph,ON,,N1H 1E7,Ontario,N1H,Southwest,2
Guillevin International,Guelph,"120 Dawson Road, Guelph, ON, N1H 1A6",43.5504819,-80.2817905,519 763-8899,,120 Dawson Road,Guelph,ON,,N1H 1A6,Ontario,N1H,Southwest,2
City Electric Supply,Guelph ,"30 Fair Road, Units 5, Guelph, ON, N1K 0A1",43.5541266,-80.2964918,519 821-8218,,30 Fair Road,Units 5,Guelph,ON,N1K 0A1,Ontario,N1K,Southwest,1
City Electric Supply,Cambridge,"101 Sheldon Drive, Unit 1- 2 Cambridge, ON, N1R 6T6",43.4021221,-80.3184213,519 622-6899  ,,101 Sheldon Drive,Unit 1- 2 Cambridge,ON,,N1R 6T6,Ontario,N1R,Southwest,3
Westburne/Rockwell,Cambridge-Rockwell Distributor,"543 Conestoga Boulevard , Units 13 & 14, Cambridge, ON, N1R 6T4",43.4022167,-80.3184667,519-623-6710,,543 Conestoga Boulevard,Units 13 & 14,Cambridge,ON,N1R 6T4,Ontario,N1R,Southwest,3
Guillevin International,Cambridge,"1575 Bishop Street N. - Unit 3, Cambridge, ON, N1R 7J4",43.3979269,-80.3093849,519 740-6472,,1575 Bishop Street N. - Unit 3,Cambridge,ON,,N1R 7J4,Ontario,N1R,Southwest,3
Guillevin International,Cambridge,"305 Sheldon Drive - Unit B, Cambridge, ON, N1T 1A7",43.40677,-80.3010271,519 740-7100,,305 Sheldon Drive - Unit B,Cambridge,ON,,N1T 1A7,Ontario,N1T,Southwest,1
Westburne/Rockwell,Kitchener-Rockwell Distributor,"101 Webster Rd, Kitchener, ON, N2C 2E7",43.416922,-80.446564,519-893-1711,,101 Webster Rd,Kitchener,ON,,N2C 2E7,Ontario,N2C,Southwest,1
Guillevin International,Kitchener,"53 St. Leger Street, Kitchener, ON, N2H 4M1",43.4581625,-80.4866601,519 576-7580,,53 St. Leger Street,Kitchener,ON,,N2H 4M1,Ontario,N2H,Southwest,1
City Electric Supply,Kitchener,"1455 Strasburg Road, Kitchener, ON, N2R 1H2",43.4028984,-80.468893,519 894-7266 ,,1455 Strasburg Road,Kitchener,ON,,N2R 1H2,Ontario,N2R,Southwest,1
City Electric Supply,Waterloo,"663 Colby Drive, Waterloo, ON, N2V 1C2",43.5012108,-80.536075,519 884-7770 ,,663 Colby Drive,Waterloo,ON,,N2V 1C2,Ontario,N2V,Southwest,2
Westburne/Rockwell,Waterloo- Rockwell Distributor,"75 Northland Drive, Waterloo, ON, N2V 1Y8",43.5074468,-80.5312998,519-746-0330,,75 Northland Drive,Waterloo,ON,,N2V 1Y8,Ontario,N2V,Southwest,2
Westburne/Rockwell,Brantford,"71 Craig Street, Brantford, ON, N3R 7H9",43.1597603,-80.2519456,519-759-7300,,71 Craig Street,Brantford,ON,,N3R 7H9,Ontario,N3R,Southwest,1
City Electric Supply,Brantford,"31 Adams Blvd., Unit 1, Brantford, ON, N3S 7V8",43.1587059,-80.2232064,519 754-1210,,31 Adams Blvd.,Unit 1,Brantford,ON,N3S 7V8,Ontario,N3S,Southwest,1
Westburne/Rockwell,Simcoe,"47 Park Road, Simcoe, ON, N3Y 4N5",42.8457805,-80.3277081,519-428-0650,,47 Park Road,Simcoe,ON,,N3Y 4N5,Ontario,N3Y,Southwest,1
Westburne/Rockwell,Tillsonburg - Rockwell Distri.,"37 Tillson Street Unit B, Tillsonburg, ON, N4G OB7",42.8559794,-80.711826,519-842-3651,,37 Tillson Street Unit B,Tillsonburg,ON,,N4G OB7,Ontario,N4G,Southwest,1
Westburne/Rockwell,Owen Sound - Rockwell Distri.,"1170 Second Avenue East, Owen Sound, ON, N4K 2H9",44.5715612,-80.9409538,519-376-4310,,1170 Second Avenue East,Owen Sound,ON,,N4K 2H9,Ontario,N4K,Southwest,1
Westburne/Rockwell,Woodstock-Rockwell Distributor,"80 Clarke Street South, Woodstock, ON, N4S 8Y7",43.1298468,-80.734001,519-539-8588,,80 Clarke Street South,Woodstock,ON,,N4S 8Y7,Ontario,N4S,Southwest,1
City Electric Supply,Woodstock ,"450 Springbank Ave. South, Unit #4, Woodstock, ON, N4V 1B2",43.1199295,-80.7247016,519 421-4513 ,,450 Springbank Ave. South,Unit #4,Woodstock,ON,N4V 1B2,Ontario,N4V,Southwest,1
Westburne/Rockwell,Listowel - RA,"430 Rocher Road, Building #1, Listowel, ON, N4W 0B2",43.7164475,-80.9585685,519-418-5000 ,,430 Rocher Road,Building #1,Listowel,ON,N4W 0B2,Ontario,N4W,Southwest,1
City Electric Supply,Stratford,"43 Griffith Road, Stratford, ON, N5A 6S4",43.3513995,-80.9838697,519 271-8359 ,,43 Griffith Road,Stratford,ON,,N5A 6S4,Ontario,N5A,Southwest,2
Westburne/Rockwell,Stratford-Rockwell Distributor,"341 Lorne Ave E, Stratford, ON, N5A 6S4",43.3524323,-80.9813227,519-275-2474,,341 Lorne Ave E,Stratford,ON,,N5A 6S4,Ontario,N5A,Southwest,2
Westburne/Rockwell,St.Thomas-Rockwell Distributor,"6 Duckworth Ave, St. Thomas, ON, N5P 2A8",42.788536,-81.1735871,519-633-6613,,6 Duckworth Ave,St. Thomas,ON,,N5P 2A8,Ontario,N5P,Southwest,2
